,Title,Location,Company,Salary,Synopsis,Query,Metro
21,Data Analyst,"Reston, VA","        Wisetek Providers, Inc.",None,"            KEY JOB FUNCTIONS* - Collaborate with business partners, technical partners, and representatives from other organizations to understand and evaluate their...",data+analyst,washington+dc
22,research data analyst/statistician,"Washington, DC",        Outreach Process Partners,None,"            Track user transmissions, return/rejection rates and resource utilization. Prepare dashboards and GIS/map based data visualizations.",data+analyst,washington+dc
23,Customer Service Data Analyst,"Vienna, VA",        SCIIT,None,"            Once they have conducted research and done their analysis, Customer Service Analysts then are tasked with providing the department with process or sales...",data+analyst,washington+dc
24,Data Analyst,"Washington, DC",        WadiTek,None,"            * Must be able to perform complex queries, assess data quality and develop data mappings Hands-on experience with multiple data warehousing and analytics...",data+analyst,washington+dc
25,Data Analyst,"Washington, DC",        SE Solutions,None,"            The nature of the work requires that the candidate demonstrate initiative, organization, responsibility, customer service skills, and the ability to be...",data+analyst,washington+dc
26,Data Analyst,"Washington, DC",        Marcelle Consultants,None,"            Developing and implementing data analyses, data collection systems and other strategies that optimize statistical efficiency and quality.",data+analyst,washington+dc
27,Data Analyst,"Washington, DC 20520 (Foggy Bottom area)",        Paradyme Management,None,            Provide support for active customers to analyze production related issues from Users. Support testing by developing Acceptance criteria and regression...,data+analyst,washington+dc
28,DATA ANALYST/SPECIALIST - Admitting (Full Time),"Washington, DC 20037 (Foggy Bottom area)",        The George Washington University Hospital,None,"            Responsible for 1) creating, maintaining and managing comprehensive and robust quality and infection prevention database which reflects the scope and breadth...",data+analyst,washington+dc
29,"Data/Quantitative Analyst - Bethesda, MD","Washington, DC",        Peopletek,None,"            As a Data/Quantitative Analyst, you will collaborate as part of a dynamic multi-disciplinary project team of subject matter experts and clinical specialists...",data+analyst,washington+dc
30,Data Analyst,"Washington, DC",        XLA,None,"            Prepare reports, when requested, for use in tracking expenses and the transfer of funds to the U.S. Customs Suspense Account",data+analyst,washington+dc
31,Product Modeling Analyst,None,        GEICO,None,"                            Identify customer risk profiles, model shopping behavior, identify potential underwriting fraud and evaluate new data sources",data+analyst,washington+dc
32,Intelligence Analyst - Entry/Mid-Level,None,        National Security Agency,"
                $45,972 - $73,105 a year","                            They provide the most complete possible foreign signals intelligence picture to U.S. policy makers and military commanders, and seek creative solutions to...",data+analyst,washington+dc
33,Industry Analyst,None,        AMT - The Association For Manufacturing Technology,"
                $70,000 a year","                            Statistics and Data Research:. Economics, statistics, survey techniques, data analytics; Master’s degree in business, finance, accounting, statistics or...",data+analyst,washington+dc
34,Data Analyst,None,        Callahan & Associates,None,"                            Hands on experience as a data analyst. Maintain data documentation. Assist on projects related to data collection systems, data analytics etc....",data+analyst,washington+dc
35,Business Intelligence Analyst,None,        Washington Metropolitan Area Transit Authority,None,"Data processing, data warehousing, and database design. Data cleansing, standardization, un-duplication; Performs data evaluation and integration;...",data+analyst,washington+dc
36,Data Analyst,None,        Chenega Corporation,None,                            Perform data entry and metadata entry for electronic documents. Assist Analyst or Government Official in obtaining/collecting all documents/information to...,data+analyst,washington+dc
37,Data Analyst,"Arlington, VA 22209 (Radnor-Ft Myer Heights area)",        MYAR,"
                $70,000 - $90,000 a year",            Experienced Analyst to perform within a team on a paper trail audit. Non-financial audit experience and/or a background in investigations required....,data+analyst,washington+dc
38,Health Data Analyst,"Washington, DC 20007 (Georgetown area)",        US News & World Report,None,            Strong grasp of data management. News & World Report is looking for a quantitative analyst to help us tackle complex research questions using big data and...,data+analyst,washington+dc
39,Data Analyst,"Washington, DC","        Lumark Technologies, Inc.",None,            Lumark has an exciting opportunity for a Data Analyst to join our growing team. Analyzing and interpreting historical data....,data+analyst,washington+dc
40,Data Analyst 1 - Petroleum Marketing Refinery,"Washington, DC 20585",        IMG Crown Energy Services Joint Venture,"
                $40,000 - $45,000 a year","            Supporting the data validation team in resolving data issues. IMG-Crown has an opening for a Data Analyst I with excellent quantitative, analytical and...",data+analyst,washington+dc
41,Data Analyst,"Sterling, VA",        US Software & Consulting,None,"            Hold and facilitate test plan/case reviews with cross-functional team members.Interpret data, analyse results using statistical techniques and provide ongoing...",data+analyst,washington+dc
42,Business Data Analyst (NO OPT EADs),"Herndon, VA",        iTEK Solutions,"
                $50 - $55 an hour","            Good general understanding of the data concepts (Data Quality, Data Modeling, etc.). Hands-on data analysis experience, preferably in the secondary mortgage...",data+analyst,washington+dc
43,DATA ANALYST/SPECIALIST - Admitting (Full Time),"Washington, DC 20037 (Foggy Bottom area)",        The George Washington University Hospital,None,            Previous experience with data extraction from clinical information systems. One to three years of statistical data collection and analysis or equivalent...,data+analyst,washington+dc
44,Data Analyst - LNSSI,"Washington, DC",        Risk Solutions,None,"            Some knowledge of Legal, Business or Government data. Provide learning and understanding of product knowledge, customer requirements, and outsourcing efforts to...",data+analyst,washington+dc
45,FOIA Analyst,"Washington, DC",        Wits Solutions,None,"            3 years (Preferred). Release redacted responsive records to the requester, researching and analyzing sensitive classified and controversial data in order to...",data+analyst,washington+dc
46,Data Analyst,"Washington, DC",        WadiTek,None,"            5+ years of experience as a Data Analyst. Complex Data Analysis:. Must be able to perform complex queries, assess data quality and develop data mappings....",data+analyst,washington+dc
47,Product Modeling Analyst,None,        GEICO,None,"                            Statistical Modeling Analyst. Our GEICO Statistical Modeling Analysts earn a starting annual salary between the mid-$60,000s - $70,000 / year....",data+analyst,washington+dc
48,Intelligence Analyst - Entry/Mid-Level,None,        National Security Agency,"
                $45,972 - $73,105 a year","                            Entry is with a high school diploma or GED plus 7 years of relevant experience, or an Associate's degree plus 5 years of relevant experience, or a Bachelor's...",data+analyst,washington+dc
49,Data Analyst,None,        Chenega Corporation,None,                            Perform data entry and metadata entry for electronic documents. Assist Analyst or Government Official in obtaining/collecting all documents/information to...,data+analyst,washington+dc
50,Data Analyst,None,        Callahan & Associates,None,"                            Hands on experience as a data analyst. Maintain data documentation. Assist on projects related to data collection systems, data analytics etc....",data+analyst,washington+dc
51,Data Analyst,"Arlington, VA 22209 (Radnor-Ft Myer Heights area)",        MYAR,"
                $70,000 - $90,000 a year",            Experienced Analyst to perform within a team on a paper trail audit. Non-financial audit experience and/or a background in investigations required....,data+analyst,washington+dc
52,Health Data Analyst,"Washington, DC 20007 (Georgetown area)",        US News & World Report,None,            Strong grasp of data management. News & World Report is looking for a quantitative analyst to help us tackle complex research questions using big data and...,data+analyst,washington+dc
53,Data Analyst,"Washington, DC","        Lumark Technologies, Inc.",None,            Lumark has an exciting opportunity for a Data Analyst to join our growing team. Analyzing and interpreting historical data....,data+analyst,washington+dc
54,Data Analyst 1 - Petroleum Marketing Refinery,"Washington, DC 20585",        IMG Crown Energy Services Joint Venture,"
                $40,000 - $45,000 a year","            Supporting the data validation team in resolving data issues. IMG-Crown has an opening for a Data Analyst I with excellent quantitative, analytical and...",data+analyst,washington+dc
55,Data Analyst,"Sterling, VA",        US Software & Consulting,None,"            Hold and facilitate test plan/case reviews with cross-functional team members.Interpret data, analyse results using statistical techniques and provide ongoing...",data+analyst,washington+dc
56,Business Data Analyst (NO OPT EADs),"Herndon, VA",        iTEK Solutions,"
                $50 - $55 an hour","            Good general understanding of the data concepts (Data Quality, Data Modeling, etc.). Hands-on data analysis experience, preferably in the secondary mortgage...",data+analyst,washington+dc
57,DATA ANALYST/SPECIALIST - Admitting (Full Time),"Washington, DC 20037 (Foggy Bottom area)",        The George Washington University Hospital,None,            Previous experience with data extraction from clinical information systems. One to three years of statistical data collection and analysis or equivalent...,data+analyst,washington+dc
58,Data Analyst - LNSSI,"Washington, DC",        Risk Solutions,None,"            Some knowledge of Legal, Business or Government data. Provide learning and understanding of product knowledge, customer requirements, and outsourcing efforts to...",data+analyst,washington+dc
59,FOIA Analyst,"Washington, DC",        Wits Solutions,None,"            3 years (Preferred). Release redacted responsive records to the requester, researching and analyzing sensitive classified and controversial data in order to...",data+analyst,washington+dc
60,Data Analyst,"Washington, DC",        WadiTek,None,"            5+ years of experience as a Data Analyst. Complex Data Analysis:. Must be able to perform complex queries, assess data quality and develop data mappings....",data+analyst,washington+dc
61,Graduate Studies Program - Data Scientist,None,        Central Intelligence Agency,"
                $27.17 - $36.60 an hour","                            As a Data Scientist Graduate Intern, you will work side-by-side with other Data Scientists to organize and interpret data to inform US decision makers, drive...",data+analyst,washington+dc
62,Business Intelligence Analyst,None,        Washington Metropolitan Area Transit Authority,None,"Data processing, data warehousing, and database design. Data cleansing, standardization, un-duplication; Performs data evaluation and integration;...",data+analyst,washington+dc
63,Engility Career Invitational - Scientists and Data Engineers,None,        Engility,None,                            Senior Analysts and many more! We will be hosting an *Engility Career Invitational for Scientists and Data Engineers and others technical experts and...,data+analyst,washington+dc
64,Industry Analyst,None,        AMT - The Association For Manufacturing Technology,"
                $70,000 a year","                            Statistics and Data Research:. Economics, statistics, survey techniques, data analytics; Master’s degree in business, finance, accounting, statistics or...",data+analyst,washington+dc
65,Data Analyst,None,        Callahan & Associates,None,"                            Hands on experience as a data analyst. Maintain data documentation. Assist on projects related to data collection systems, data analytics etc....",data+analyst,washington+dc
66,Business Intelligence Analyst,None,        Washington Metropolitan Area Transit Authority,None,"Data processing, data warehousing, and database design. Data cleansing, standardization, un-duplication; Performs data evaluation and integration;...",data+analyst,washington+dc
67,Data Analyst,None,        Chenega Corporation,None,                            Perform data entry and metadata entry for electronic documents. Assist Analyst or Government Official in obtaining/collecting all documents/information to...,data+analyst,washington+dc
68,Data Analyst,"Arlington, VA 22209 (Radnor-Ft Myer Heights area)",        MYAR,"
                $70,000 - $90,000 a year",            Experienced Analyst to perform within a team on a paper trail audit. Non-financial audit experience and/or a background in investigations required....,data+analyst,washington+dc
69,Health Data Analyst,"Washington, DC 20007 (Georgetown area)",        US News & World Report,None,            Strong grasp of data management. News & World Report is looking for a quantitative analyst to help us tackle complex research questions using big data and...,data+analyst,washington+dc
70,Data Analyst,"Washington, DC","        Lumark Technologies, Inc.",None,            Lumark has an exciting opportunity for a Data Analyst to join our growing team. Analyzing and interpreting historical data....,data+analyst,washington+dc
71,Data Analyst 1 - Petroleum Marketing Refinery,"Washington, DC 20585",        IMG Crown Energy Services Joint Venture,"
                $40,000 - $45,000 a year","            Supporting the data validation team in resolving data issues. IMG-Crown has an opening for a Data Analyst I with excellent quantitative, analytical and...",data+analyst,washington+dc
72,Data Analyst,"Sterling, VA",        US Software & Consulting,None,"            Hold and facilitate test plan/case reviews with cross-functional team members.Interpret data, analyse results using statistical techniques and provide ongoing...",data+analyst,washington+dc
73,Business Data Analyst (NO OPT EADs),"Herndon, VA",        iTEK Solutions,"
                $50 - $55 an hour","            Good general understanding of the data concepts (Data Quality, Data Modeling, etc.). Hands-on data analysis experience, preferably in the secondary mortgage...",data+analyst,washington+dc
74,DATA ANALYST/SPECIALIST - Admitting (Full Time),"Washington, DC 20037 (Foggy Bottom area)",        The George Washington University Hospital,None,            Previous experience with data extraction from clinical information systems. One to three years of statistical data collection and analysis or equivalent...,data+analyst,washington+dc
75,Data Analyst - LNSSI,"Washington, DC",        Risk Solutions,None,"            Some knowledge of Legal, Business or Government data. Provide learning and understanding of product knowledge, customer requirements, and outsourcing efforts to...",data+analyst,washington+dc
76,FOIA Analyst,"Washington, DC",        Wits Solutions,None,"            3 years (Preferred). Release redacted responsive records to the requester, researching and analyzing sensitive classified and controversial data in order to...",data+analyst,washington+dc
77,Data Analyst,"Washington, DC",        WadiTek,None,"            5+ years of experience as a Data Analyst. Complex Data Analysis:. Must be able to perform complex queries, assess data quality and develop data mappings....",data+analyst,washington+dc
78,Product Modeling Analyst,None,        GEICO,None,"                            Statistical Modeling Analyst. Our GEICO Statistical Modeling Analysts earn a starting annual salary between the mid-$60,000s - $70,000 / year....",data+analyst,washington+dc
79,Intelligence Analyst - Entry/Mid-Level,None,        National Security Agency,"
                $45,972 - $73,105 a year","                            Entry is with a high school diploma or GED plus 7 years of relevant experience, or an Associate's degree plus 5 years of relevant experience, or a Bachelor's...",data+analyst,washington+dc
80,Data Analyst,None,        Chenega Corporation,None,                            Perform data entry and metadata entry for electronic documents. Assist Analyst or Government Official in obtaining/collecting all documents/information to...,data+analyst,washington+dc
81,Data Analyst,None,        Callahan & Associates,None,"                            Hands on experience as a data analyst. Maintain data documentation. Assist on projects related to data collection systems, data analytics etc....",data+analyst,washington+dc
82,Data Scientist - Human Capital Analytics,None,        Leidos,None,"                            Review, assess data, identify data deficiencies and recommend solutions for remediation. Demonstrated experience in developing and applying quantitative methods...",data+analyst,washington+dc
83,Industry Analyst,None,        AMT - The Association For Manufacturing Technology,"
                $70,000 a year","                            Statistics and Data Research:. Economics, statistics, survey techniques, data analytics; Master’s degree in business, finance, accounting, statistics or...",data+analyst,washington+dc
84,Data Analyst,"Arlington, VA 22209 (Radnor-Ft Myer Heights area)",        MYAR,"
                $70,000 - $90,000 a year",            Experienced Analyst to perform within a team on a paper trail audit. Non-financial audit experience and/or a background in investigations required....,data+analyst,washington+dc
85,Health Data Analyst,"Washington, DC 20007 (Georgetown area)",        US News & World Report,None,            Strong grasp of data management. News & World Report is looking for a quantitative analyst to help us tackle complex research questions using big data and...,data+analyst,washington+dc
86,Data Analyst,"Washington, DC","        Lumark Technologies, Inc.",None,            Lumark has an exciting opportunity for a Data Analyst to join our growing team. Analyzing and interpreting historical data....,data+analyst,washington+dc
87,Data Analyst 1 - Petroleum Marketing Refinery,"Washington, DC 20585",        IMG Crown Energy Services Joint Venture,"
                $40,000 - $45,000 a year","            Supporting the data validation team in resolving data issues. IMG-Crown has an opening for a Data Analyst I with excellent quantitative, analytical and...",data+analyst,washington+dc
88,Data Analyst,"Sterling, VA",        US Software & Consulting,None,"            Hold and facilitate test plan/case reviews with cross-functional team members.Interpret data, analyse results using statistical techniques and provide ongoing...",data+analyst,washington+dc
89,Business Data Analyst (NO OPT EADs),"Herndon, VA",        iTEK Solutions,"
                $50 - $55 an hour","            Good general understanding of the data concepts (Data Quality, Data Modeling, etc.). Hands-on data analysis experience, preferably in the secondary mortgage...",data+analyst,washington+dc
90,DATA ANALYST/SPECIALIST - Admitting (Full Time),"Washington, DC 20037 (Foggy Bottom area)",        The George Washington University Hospital,None,            Previous experience with data extraction from clinical information systems. One to three years of statistical data collection and analysis or equivalent...,data+analyst,washington+dc
91,Data Analyst - LNSSI,"Washington, DC",        Risk Solutions,None,"            Some knowledge of Legal, Business or Government data. Provide learning and understanding of product knowledge, customer requirements, and outsourcing efforts to...",data+analyst,washington+dc
92,FOIA Analyst,"Washington, DC",        Wits Solutions,None,"            3 years (Preferred). Release redacted responsive records to the requester, researching and analyzing sensitive classified and controversial data in order to...",data+analyst,washington+dc
93,Data Analyst,"Washington, DC",        WadiTek,None,"            5+ years of experience as a Data Analyst. Complex Data Analysis:. Must be able to perform complex queries, assess data quality and develop data mappings....",data+analyst,washington+dc
94,Business Intelligence Analyst,None,        Washington Metropolitan Area Transit Authority,None,"Data processing, data warehousing, and database design. Data cleansing, standardization, un-duplication; Performs data evaluation and integration;...",data+analyst,washington+dc
95,Engility Career Invitational - Scientists and Data Engineers,None,        Engility,None,                            Senior Analysts and many more! We will be hosting an *Engility Career Invitational for Scientists and Data Engineers and others technical experts and...,data+analyst,washington+dc
96,Data Analyst,None,        Chenega Corporation,None,                            Perform data entry and metadata entry for electronic documents. Assist Analyst or Government Official in obtaining/collecting all documents/information to...,data+analyst,washington+dc
97,Data Analyst,None,        Callahan & Associates,None,"                            Hands on experience as a data analyst. Maintain data documentation. Assist on projects related to data collection systems, data analytics etc....",data+analyst,washington+dc
98,Data Scientist - Human Capital Analytics,None,        Leidos,None,"                            Review, assess data, identify data deficiencies and recommend solutions for remediation. Demonstrated experience in developing and applying quantitative methods...",data+analyst,washington+dc
99,Industry Analyst,None,        AMT - The Association For Manufacturing Technology,"
                $70,000 a year","                            Statistics and Data Research:. Economics, statistics, survey techniques, data analytics; Master’s degree in business, finance, accounting, statistics or...",data+analyst,washington+dc
100,Data Analyst,"Arlington, VA 22209 (Radnor-Ft Myer Heights area)",        MYAR,"
                $70,000 - $90,000 a year",            Experienced Analyst to perform within a team on a paper trail audit. Non-financial audit experience and/or a background in investigations required....,data+analyst,washington+dc
101,Health Data Analyst,"Washington, DC 20007 (Georgetown area)",        US News & World Report,None,            Strong grasp of data management. News & World Report is looking for a quantitative analyst to help us tackle complex research questions using big data and...,data+analyst,washington+dc
102,Data Analyst,"Washington, DC","        Lumark Technologies, Inc.",None,            Lumark has an exciting opportunity for a Data Analyst to join our growing team. Analyzing and interpreting historical data....,data+analyst,washington+dc
103,Data Analyst 1 - Petroleum Marketing Refinery,"Washington, DC 20585",        IMG Crown Energy Services Joint Venture,"
                $40,000 - $45,000 a year","            Supporting the data validation team in resolving data issues. IMG-Crown has an opening for a Data Analyst I with excellent quantitative, analytical and...",data+analyst,washington+dc
104,Data Analyst,"Sterling, VA",        US Software & Consulting,None,"            Hold and facilitate test plan/case reviews with cross-functional team members.Interpret data, analyse results using statistical techniques and provide ongoing...",data+analyst,washington+dc
105,Business Data Analyst (NO OPT EADs),"Herndon, VA",        iTEK Solutions,"
                $50 - $55 an hour","            Good general understanding of the data concepts (Data Quality, Data Modeling, etc.). Hands-on data analysis experience, preferably in the secondary mortgage...",data+analyst,washington+dc
106,DATA ANALYST/SPECIALIST - Admitting (Full Time),"Washington, DC 20037 (Foggy Bottom area)",        The George Washington University Hospital,None,            Previous experience with data extraction from clinical information systems. One to three years of statistical data collection and analysis or equivalent...,data+analyst,washington+dc
107,Data Analyst - LNSSI,"Washington, DC",        Risk Solutions,None,"            Some knowledge of Legal, Business or Government data. Provide learning and understanding of product knowledge, customer requirements, and outsourcing efforts to...",data+analyst,washington+dc
108,FOIA Analyst,"Washington, DC",        Wits Solutions,None,"            3 years (Preferred). Release redacted responsive records to the requester, researching and analyzing sensitive classified and controversial data in order to...",data+analyst,washington+dc
109,Data Analyst,"Washington, DC",        WadiTek,None,"            5+ years of experience as a Data Analyst. Complex Data Analysis:. Must be able to perform complex queries, assess data quality and develop data mappings....",data+analyst,washington+dc
110,Business Intelligence Analyst,None,        Washington Metropolitan Area Transit Authority,None,"Data processing, data warehousing, and database design. Data cleansing, standardization, un-duplication; Performs data evaluation and integration;...",data+analyst,washington+dc
111,Engility Career Invitational - Scientists and Data Engineers,None,        Engility,None,                            Senior Analysts and many more! We will be hosting an *Engility Career Invitational for Scientists and Data Engineers and others technical experts and...,data+analyst,washington+dc
112,Industry Analyst,None,        AMT - The Association For Manufacturing Technology,"
                $70,000 a year","                            Statistics and Data Research:. Economics, statistics, survey techniques, data analytics; Master’s degree in business, finance, accounting, statistics or...",data+analyst,washington+dc
113,Data Analyst,None,        Callahan & Associates,None,"                            Hands on experience as a data analyst. Maintain data documentation. Assist on projects related to data collection systems, data analytics etc....",data+analyst,washington+dc
114,Business Intelligence Analyst,None,        Washington Metropolitan Area Transit Authority,None,"Data processing, data warehousing, and database design. Data cleansing, standardization, un-duplication; Performs data evaluation and integration;...",data+analyst,washington+dc
115,Product Modeling Analyst,None,        GEICO,None,"                            Statistical Modeling Analyst. Our GEICO Statistical Modeling Analysts earn a starting annual salary between the mid-$60,000s - $70,000 / year....",data+analyst,washington+dc
116,Data Analyst,None,        Chenega Corporation,None,                            Perform data entry and metadata entry for electronic documents. Assist Analyst or Government Official in obtaining/collecting all documents/information to...,data+analyst,washington+dc
117,Data Analyst,"Reston, VA","        Wisetek Providers, Inc.",None,"            Perform any necessary data mapping and data lineage activities, documents information flows. Assist manager in establishing data security guidelines for data...",data+analyst,washington+dc
118,research data analyst/statistician,"Washington, DC",        Outreach Process Partners,None,            Seeking Data Analyst/Statistician with 3+ years of experience in data analysis and research. Prepare dashboards and GIS/map based data visualizations....,data+analyst,washington+dc
119,Customer Service Data Analyst,"Vienna, VA",        SCIIT,None,            Customer Service Analysts are responsible for gathering data and doing research. Customer Service Analysts must know how to conduct research as well as analyze...,data+analyst,washington+dc
120,Data Analyst,"Washington, DC",        WadiTek,None,"            5+ years of experience as a Data Analyst. Complex Data Analysis:. Must be able to perform complex queries, assess data quality and develop data mappings....",data+analyst,washington+dc
121,Data Analyst,"Washington, DC",        SE Solutions,None,"            Measuring your data:. The primary responsibilities for the position are retrieving data, manipulating data, and responding to requests for specific data...",data+analyst,washington+dc
122,Data Analyst,"Washington, DC",        Marcelle Consultants,None,            Proven working experience as a data analyst or business data analyst. Seeking a Data Analyst to perform tasks which may include obtaining data through advanced...,data+analyst,washington+dc
123,Data Analyst,"Washington, DC 20520 (Foggy Bottom area)",        Paradyme Management,None,Analyst will support pre-go-live Data Quality. Analyze pre-go-live data conversion artifacts. 3-5 years of Data Analysis functions....,data+analyst,washington+dc
124,DATA ANALYST/SPECIALIST - Admitting (Full Time),"Washington, DC 20037 (Foggy Bottom area)",        The George Washington University Hospital,None,            Previous experience with data extraction from clinical information systems. One to three years of statistical data collection and analysis or equivalent...,data+analyst,washington+dc
125,"Data/Quantitative Analyst - Bethesda, MD","Washington, DC",        Peopletek,None,"            2 - 3 years of relevant work experience (e.g., as a data analyst, business analyst, statistician). Work with complex data sets to address difficult, non-routine...",data+analyst,washington+dc
126,Data Analyst,"Washington, DC",        XLA,None,            XLA is looking to fill the position of Data Analyst to support our government client. Enter data into internal tracking system....,data+analyst,washington+dc
127,Data Scientist - Entry to Experienced Level,None,        National Security Agency,"
                $69,545 - $86,659 a year","                            Applying the scientific process to data evaluation, performing statistical inference, and data mining. Analyzing data using mathematical/statistical methods....",data+analyst,washington+dc
128,Intelligence Analyst - Entry/Mid-Level,None,        National Security Agency,"
                $45,972 - $73,105 a year","                            Entry is with a high school diploma or GED plus 7 years of relevant experience, or an Associate's degree plus 5 years of relevant experience, or a Bachelor's...",data+analyst,washington+dc
129,Industry Analyst,None,        AMT - The Association For Manufacturing Technology,"
                $70,000 a year","                            Statistics and Data Research:. Economics, statistics, survey techniques, data analytics; Master’s degree in business, finance, accounting, statistics or...",data+analyst,washington+dc
130,Data Analyst,None,        Callahan & Associates,None,"                            Hands on experience as a data analyst. Maintain data documentation. Assist on projects related to data collection systems, data analytics etc....",data+analyst,washington+dc
131,Business Intelligence Analyst,None,        Washington Metropolitan Area Transit Authority,None,"Data processing, data warehousing, and database design. Data cleansing, standardization, un-duplication; Performs data evaluation and integration;...",data+analyst,washington+dc
132,Data Analyst,None,        Chenega Corporation,None,                            Perform data entry and metadata entry for electronic documents. Assist Analyst or Government Official in obtaining/collecting all documents/information to...,data+analyst,washington+dc
133,Data Analyst,"Arlington, VA 22209 (Radnor-Ft Myer Heights area)",        MYAR,"
                $70,000 - $90,000 a year",            Experienced Analyst to perform within a team on a paper trail audit. Non-financial audit experience and/or a background in investigations required....,data+analyst,washington+dc
134,Health Data Analyst,"Washington, DC 20007 (Georgetown area)",        US News & World Report,None,            Strong grasp of data management. News & World Report is looking for a quantitative analyst to help us tackle complex research questions using big data and...,data+analyst,washington+dc
135,Data Analyst,"Washington, DC","        Lumark Technologies, Inc.",None,            Lumark has an exciting opportunity for a Data Analyst to join our growing team. Analyzing and interpreting historical data....,data+analyst,washington+dc
136,Data Analyst 1 - Petroleum Marketing Refinery,"Washington, DC 20585",        IMG Crown Energy Services Joint Venture,"
                $40,000 - $45,000 a year","            Supporting the data validation team in resolving data issues. IMG-Crown has an opening for a Data Analyst I with excellent quantitative, analytical and...",data+analyst,washington+dc
