,Title,Location,Company,Salary,Synopsis
240,Federal - Junior Data Scientist,"Suitland, MD",        Accenture,None,"            You’ll be part of a diverse team of industry experts who specialize in data engineering, data mining, machine learning, statistics, and visualization with..."
241,Data Scientist,"Washington, DC",        ANALYTICA,None,"            Analytica specializes in providing software and systems engineering, information management, analytics & visualization, agile project management, and management..."
242,Senior Data Scientist,None,"        American Nurses Association, Inc",None,"Data management and visualization. Program for advanced statistical analyses using software programs (e.g., SAS, SPSS, Winsteps, R, SQL)...."
243,Graduate Studies Program - Data Scientist,None,        Central Intelligence Agency,"
                $27.17 - $36.60 an hour","                            As a Data Scientist Graduate Intern, you will work side-by-side with other Data Scientists to organize and interpret data to inform US decision makers, drive..."
244,Data Scientist — Predictive Analytics,None,        Gallup,None,                            Minimum of two years of experience building production-level machine learning and predictive analytics systems along with data pipelines....
245,Data Scientist,None,        Novetta,None,                            Novetta has an exciting opportunity for a self-motivated and accomplished Data Scientist to join our advanced analytics team....
246,Data Scientist with Polygraph,None,        Deloitte,None,"                            Our GPS Strategy and Analytics teams bring deep industry expertise, rigorous analytical capabilities and a pragmatic mindset to help solve our client’s most..."
247,Data Analytics Specialist,None,        PCAOB,None,"                            Play a significant role in PCAOB's increasing focus on data analytics, using predictive data analytics to improve the effectiveness and efficiency of our..."
248,Data Scientist - Human Capital Analytics,None,        Leidos,None,                            Provide expert and professional data scientists to implement effective and innovative solutions meshing disparate data types to discover insights and trends in...
249,Data Scientist,"Alexandria, VA 22314 (Southwest Quadrant area)",        Society for Human Resource Management,None,"            Advanced proficiency in R and/or Python programming, including machine learning and data visualization tools (Scikit-learn, R packages for machine learning &..."
250,Junior Data Scientist,"Tysons, VA",        Logistics Management Institute,None,"            Preferred experience with data science methods related to data architecture, data munging, data and feature engineering, and predictive analytics...."
251,Data Scientist,"Washington, DC",        U.S. Federal Government,"
                $67,968 - $126,062 a year","Data Scientists clearly communicate their conclusions to a diverse audience and become experts through Agency-sponsored continuing education, attendance at..."
252,Data Scientist - Client Services,"Washington, DC 20005 (Logan Circle area)",        Morning Consult,None,"            Expertise with R statistical software (i.e., data visualization and processing). Morning Consult is re-defining how public opinion data is measured – from..."
253,Data Scientist,"Washington, DC",        CORMAC Corporation,None,"            Leverage expertise in machine learning, data mining, statistical, and graph based algorithms in data analysis, solution development, analytic workflow processes..."
254,Data Scientist,"Reston, VA",        ISE Data Systems,None,"Data Scientist duties will typically be focused on the customer’s business analytics, metrics collection, and analysis efforts to assist the customer’s..."
255,Data Scientist — Predictive Analytics,"Washington, DC",        Gallup,None,            Minimum of two years of experience building production-level machine learning and predictive analytics systems along with data pipelines....
256,Social Scientist - Environmental Data Analyst,"Washington, DC",        US Department of Transportation,"
                $68,036 - $106,012 a year","            OST is looking for a seasoned, motivated and self-reliant professional who can share their expertise in applying advanced statistical, mathematical,..."
257,Federal - Junior Data Scientist,"Suitland, MD",        Accenture,None,"            You’ll be part of a diverse team of industry experts who specialize in data engineering, data mining, machine learning, statistics, and visualization with..."
258,Data Scientist,"Washington, DC",        ANALYTICA,None,"            Analytica specializes in providing software and systems engineering, information management, analytics & visualization, agile project management, and management..."
259,Senior Data Scientist,None,"        American Nurses Association, Inc",None,"Data management and visualization. Program for advanced statistical analyses using software programs (e.g., SAS, SPSS, Winsteps, R, SQL)...."
260,Graduate Studies Program - Data Scientist,None,        Central Intelligence Agency,"
                $27.17 - $36.60 an hour","                            As a Data Scientist Graduate Intern, you will work side-by-side with other Data Scientists to organize and interpret data to inform US decision makers, drive..."
261,Data Scientist — Predictive Analytics,None,        Gallup,None,                            Minimum of two years of experience building production-level machine learning and predictive analytics systems along with data pipelines....
262,Data Scientist,None,        Novetta,None,                            Novetta has an exciting opportunity for a self-motivated and accomplished Data Scientist to join our advanced analytics team....
263,Data Scientist with Polygraph,None,        Deloitte,None,"                            Our GPS Strategy and Analytics teams bring deep industry expertise, rigorous analytical capabilities and a pragmatic mindset to help solve our client’s most..."
264,Data Analytics Specialist,None,        PCAOB,None,"                            Play a significant role in PCAOB's increasing focus on data analytics, using predictive data analytics to improve the effectiveness and efficiency of our..."
265,Data Scientist - Human Capital Analytics,None,        Leidos,None,                            Provide expert and professional data scientists to implement effective and innovative solutions meshing disparate data types to discover insights and trends in...
266,Data Scientist,"Alexandria, VA 22314 (Southwest Quadrant area)",        Society for Human Resource Management,None,"            Advanced proficiency in R and/or Python programming, including machine learning and data visualization tools (Scikit-learn, R packages for machine learning &..."
267,Junior Data Scientist,"Tysons, VA",        Logistics Management Institute,None,"            Preferred experience with data science methods related to data architecture, data munging, data and feature engineering, and predictive analytics...."
268,Data Scientist,"Washington, DC",        U.S. Federal Government,"
                $67,968 - $126,062 a year","Data Scientists clearly communicate their conclusions to a diverse audience and become experts through Agency-sponsored continuing education, attendance at..."
269,Data Scientist - Client Services,"Washington, DC 20005 (Logan Circle area)",        Morning Consult,None,"            Expertise with R statistical software (i.e., data visualization and processing). Morning Consult is re-defining how public opinion data is measured – from..."
270,Data Scientist,"Washington, DC",        CORMAC Corporation,None,"            Leverage expertise in machine learning, data mining, statistical, and graph based algorithms in data analysis, solution development, analytic workflow processes..."
271,Data Scientist,"Reston, VA",        ISE Data Systems,None,"Data Scientist duties will typically be focused on the customer’s business analytics, metrics collection, and analysis efforts to assist the customer’s..."
272,Data Scientist — Predictive Analytics,"Washington, DC",        Gallup,None,            Minimum of two years of experience building production-level machine learning and predictive analytics systems along with data pipelines....
273,Social Scientist - Environmental Data Analyst,"Washington, DC",        US Department of Transportation,"
                $68,036 - $106,012 a year","            OST is looking for a seasoned, motivated and self-reliant professional who can share their expertise in applying advanced statistical, mathematical,..."
274,Federal - Junior Data Scientist,"Suitland, MD",        Accenture,None,"            You’ll be part of a diverse team of industry experts who specialize in data engineering, data mining, machine learning, statistics, and visualization with..."
275,Data Scientist,"Washington, DC",        ANALYTICA,None,"            Analytica specializes in providing software and systems engineering, information management, analytics & visualization, agile project management, and management..."
276,Senior Data Scientist,None,"        American Nurses Association, Inc",None,"Data management and visualization. Program for advanced statistical analyses using software programs (e.g., SAS, SPSS, Winsteps, R, SQL)...."
277,Graduate Studies Program - Data Scientist,None,        Central Intelligence Agency,"
                $27.17 - $36.60 an hour","                            As a Data Scientist Graduate Intern, you will work side-by-side with other Data Scientists to organize and interpret data to inform US decision makers, drive..."
278,Data Scientist — Predictive Analytics,None,        Gallup,None,                            Minimum of two years of experience building production-level machine learning and predictive analytics systems along with data pipelines....
279,Data Scientist,None,        Novetta,None,                            Novetta has an exciting opportunity for a self-motivated and accomplished Data Scientist to join our advanced analytics team....
280,Data Scientist with Polygraph,None,        Deloitte,None,"                            Our GPS Strategy and Analytics teams bring deep industry expertise, rigorous analytical capabilities and a pragmatic mindset to help solve our client’s most..."
281,Data Analytics Specialist,None,        PCAOB,None,"                            Play a significant role in PCAOB's increasing focus on data analytics, using predictive data analytics to improve the effectiveness and efficiency of our..."
282,Data Scientist - Human Capital Analytics,None,        Leidos,None,                            Provide expert and professional data scientists to implement effective and innovative solutions meshing disparate data types to discover insights and trends in...
283,Data Scientist,"Alexandria, VA 22314 (Southwest Quadrant area)",        Society for Human Resource Management,None,"            Advanced proficiency in R and/or Python programming, including machine learning and data visualization tools (Scikit-learn, R packages for machine learning &..."
284,Junior Data Scientist,"Tysons, VA",        Logistics Management Institute,None,"            Preferred experience with data science methods related to data architecture, data munging, data and feature engineering, and predictive analytics...."
285,Data Scientist,"Washington, DC",        U.S. Federal Government,"
                $67,968 - $126,062 a year","Data Scientists clearly communicate their conclusions to a diverse audience and become experts through Agency-sponsored continuing education, attendance at..."
286,Data Scientist - Client Services,"Washington, DC 20005 (Logan Circle area)",        Morning Consult,None,"            Expertise with R statistical software (i.e., data visualization and processing). Morning Consult is re-defining how public opinion data is measured – from..."
287,Data Scientist,"Washington, DC",        CORMAC Corporation,None,"            Leverage expertise in machine learning, data mining, statistical, and graph based algorithms in data analysis, solution development, analytic workflow processes..."
288,Data Scientist,"Reston, VA",        ISE Data Systems,None,"Data Scientist duties will typically be focused on the customer’s business analytics, metrics collection, and analysis efforts to assist the customer’s..."
289,Data Scientist — Predictive Analytics,"Washington, DC",        Gallup,None,            Minimum of two years of experience building production-level machine learning and predictive analytics systems along with data pipelines....
290,Social Scientist - Environmental Data Analyst,"Washington, DC",        US Department of Transportation,"
                $68,036 - $106,012 a year","            OST is looking for a seasoned, motivated and self-reliant professional who can share their expertise in applying advanced statistical, mathematical,..."
291,Federal - Junior Data Scientist,"Suitland, MD",        Accenture,None,"            You’ll be part of a diverse team of industry experts who specialize in data engineering, data mining, machine learning, statistics, and visualization with..."
292,Data Scientist,"Washington, DC",        ANALYTICA,None,"            Analytica specializes in providing software and systems engineering, information management, analytics & visualization, agile project management, and management..."
293,Senior Data Scientist,None,"        American Nurses Association, Inc",None,"Data management and visualization. Program for advanced statistical analyses using software programs (e.g., SAS, SPSS, Winsteps, R, SQL)...."
294,Graduate Studies Program - Data Scientist,None,        Central Intelligence Agency,"
                $27.17 - $36.60 an hour","                            As a Data Scientist Graduate Intern, you will work side-by-side with other Data Scientists to organize and interpret data to inform US decision makers, drive..."
295,Data Scientist — Predictive Analytics,None,        Gallup,None,                            Minimum of two years of experience building production-level machine learning and predictive analytics systems along with data pipelines....
296,Data Scientist,None,        Novetta,None,                            Customer mission success drives our daily efforts—we strive always to exceed customer expectations and focus on mission success beyond contractual...
297,Data Scientist with Polygraph,None,        Deloitte,None,                            Manages own personal and professional development; seeks opportunities for professional growth and expansion of consulting skills and experiences
298,Data Analytics Specialist,None,        PCAOB,None,                            PCAOB oversees the audit of public companies and SEC registered brokers and dealers in order to protect investors and further public interest in the...
299,Data Scientist - Human Capital Analytics,None,        Leidos,None,"                            Develop or utilize complex programmatic and quantitative methods to find patterns and relationships in data sets; lead statistical modeling, or other..."
300,Data Scientist,"Alexandria, VA 22314 (Southwest Quadrant area)",        Society for Human Resource Management,None,"            The Data Scientist, Knowledge Development works closely with other departments and organizations as part of a larger strategy and design thinking team which..."
301,Junior Data Scientist,"Tysons, VA",        Logistics Management Institute,None,            The Junior Data Scientist position will be embedded within our LMI Data Analytics Practice and leverage your curiosity and problem solving skills to explore...
302,Data Scientist,"Washington, DC",        U.S. Federal Government,"
                $67,968 - $126,062 a year","            Data Scientists clearly communicate their conclusions to a diverse audience and become experts through Agency-sponsored continuing education, attendance at..."
303,Data Scientist - Client Services,"Washington, DC 20005 (Logan Circle area)",        Morning Consult,None,"            With offices in New York, Washington D.C., and Chicago, Morning Consult provides rapid and rigorously tested research, news, and brand-tracking technology..."
304,Data Scientist,"Washington, DC",        CORMAC Corporation,None,            Apply technical and advanced analytical expertise to explore and examine data from multiple disparate sources with the goal of discovering patterns and...
305,Data Scientist,"Reston, VA",        ISE Data Systems,None,"            Data Scientist duties will typically be focused on the customer’s business analytics, metrics collection, and analysis efforts to assist the customer’s..."
306,Data Scientist — Predictive Analytics,"Washington, DC",        Gallup,None,"            Working on the biggest stage for researchers, you’ll explain and predict large-scale social behavior (e.g., consumer spending, lifestyle trends, political..."
307,Social Scientist - Environmental Data Analyst,"Washington, DC",        US Department of Transportation,"
                $68,036 - $106,012 a year","            Experience collecting and analyzing environmental data utilizing relational database management systems AND applying advanced statistical (e.g., ""R..."
308,Federal - Junior Data Scientist,"Suitland, MD",        Accenture,None,"            We assist clients with the entirety of the data science pipeline, enabling clients to ask the right questions or their data, build powerful models that find..."
309,Data Scientist,"Washington, DC",        ANALYTICA,None,"            The Data Scientist utilizes SAS, R, or Python to support the development of complex cases that involve high dollar amounts, sensitive issues, or that..."
310,Senior Data Scientist,None,"        American Nurses Association, Inc",None,                            Leads efforts and provides consultation for MS staff to resolve data problems and establish data quality standards; develops presentations and publications...
311,Graduate Studies Program - Data Scientist,None,        Central Intelligence Agency,"
                $27.17 - $36.60 an hour",                            Data Scientists clearly communicate their conclusions to a diverse audience and develop technical expertise via hands-on experience and continuous learning...
312,Data Scientist — Predictive Analytics,None,        Gallup,None,"                            Working on the biggest stage for researchers, you’ll explain and predict large-scale social behavior (e.g., consumer spending, lifestyle trends, political..."
313,Data Analytics Specialist,None,        PCAOB,None,"                            Play a significant role in PCAOB's increasing focus on data analytics, using predictive data analytics to improve the effectiveness and efficiency of our..."
314,Graduate Studies Program - Data Scientist,None,        Central Intelligence Agency,"
                $27.17 - $36.60 an hour","                            As a Data Scientist Graduate Intern, you will work side-by-side with other Data Scientists to organize and interpret data to inform US decision makers, drive..."
315,Data Scientist,"Alexandria, VA 22314 (Southwest Quadrant area)",        Society for Human Resource Management,None,"            Advanced proficiency in R and/or Python programming, including machine learning and data visualization tools (Scikit-learn, R packages for machine learning &..."
316,Junior Data Scientist,"Tysons, VA",        Logistics Management Institute,None,"            Preferred experience with data science methods related to data architecture, data munging, data and feature engineering, and predictive analytics...."
317,Data Scientist,"Washington, DC",        U.S. Federal Government,"
                $67,968 - $126,062 a year","Data Scientists clearly communicate their conclusions to a diverse audience and become experts through Agency-sponsored continuing education, attendance at..."
318,Data Scientist - Client Services,"Washington, DC 20005 (Logan Circle area)",        Morning Consult,None,"            Expertise with R statistical software (i.e., data visualization and processing). Morning Consult is re-defining how public opinion data is measured – from..."
319,Data Scientist,"Washington, DC",        CORMAC Corporation,None,"            Leverage expertise in machine learning, data mining, statistical, and graph based algorithms in data analysis, solution development, analytic workflow processes..."
320,Data Scientist,"Reston, VA",        ISE Data Systems,None,"Data Scientist duties will typically be focused on the customer’s business analytics, metrics collection, and analysis efforts to assist the customer’s..."
321,Data Scientist — Predictive Analytics,"Washington, DC",        Gallup,None,            Minimum of two years of experience building production-level machine learning and predictive analytics systems along with data pipelines....
322,Social Scientist - Environmental Data Analyst,"Washington, DC",        US Department of Transportation,"
                $68,036 - $106,012 a year","            OST is looking for a seasoned, motivated and self-reliant professional who can share their expertise in applying advanced statistical, mathematical,..."
323,Federal - Junior Data Scientist,"Suitland, MD",        Accenture,None,"            You’ll be part of a diverse team of industry experts who specialize in data engineering, data mining, machine learning, statistics, and visualization with..."
324,Data Scientist,"Washington, DC",        ANALYTICA,None,"            Analytica specializes in providing software and systems engineering, information management, analytics & visualization, agile project management, and management..."
325,HP032 Data Technician,None,"        ADNET Systems, Inc.",None,"                            Work side by side with top scientists. HP032 Junior Data Technician, Part Time. Perform and manage system backups...."
326,Data Scientist,None,        Central Intelligence Agency,"
                $67,968 - $126,062 a year","Data Scientists clearly communicate their conclusions to a diverse audience and become experts through Agency-sponsored continuing education, attendance at..."
327,Data Scientist - Entry to Experienced Level,None,        National Security Agency,"
                $69,545 - $86,659 a year","                            Applying the scientific process to data evaluation, performing statistical inference, and data mining. As a member of a technical mission office or the DSDP,..."
328,Data Scientist,None,        Novetta,None,                            Novetta has an exciting opportunity for a self-motivated and accomplished Data Scientist to join our advanced analytics team....
329,Data Scientist with Polygraph,None,        Deloitte,None,"                            Our GPS Strategy and Analytics teams bring deep industry expertise, rigorous analytical capabilities and a pragmatic mindset to help solve our client’s most..."
330,Data Analytics Specialist,None,        PCAOB,None,"                            Play a significant role in PCAOB's increasing focus on data analytics, using predictive data analytics to improve the effectiveness and efficiency of our..."
331,Data Scientist - Human Capital Analytics,None,        Leidos,None,                            Provide expert and professional data scientists to implement effective and innovative solutions meshing disparate data types to discover insights and trends in...
332,Data Scientist,"Arlington, VA 22202 (Aurora Highlands area)",        ByteCubed,None,"            At Bytecubed, the data science team mostly does data wrangling, natural language processing, and machine learning...."
333,Data Scientist — Predictive Analytics,"Washington, DC",        Gallup,None,            Minimum of two years of experience building production-level machine learning and predictive analytics systems along with data pipelines....
334,Data Scientist,"Annapolis Junction, MD 20701",        Red Alpha,None,            Are you interested in applying your strong quantitative analysis and big data skills to world-changing problems? Experience with big data:....
335,"Applied Data Scientist, Enterprise","Washington, DC",        Improbable,None,"            Our applied data scientists are delivery focused, working in diverse technical teams to design, build, deploy and evaluate data models...."
336,Federal - Junior Data Scientist,"Suitland, MD",        Accenture,None,"            You’ll be part of a diverse team of industry experts who specialize in data engineering, data mining, machine learning, statistics, and visualization with..."
337,Dr. Strange or Iron Man? (Data Scientist),"Bethesda, MD",        Interface Financial Group (IFG),"
                $100,000 - $120,000 a year","Data Scientists need to analyze financial data, predict future trends, and isolate unexpected correlations...."
338,Data Scientist,"Reston, VA",        ISE Data Systems,None,"Data Scientist duties will typically be focused on the customer’s business analytics, metrics collection, and analysis efforts to assist the customer’s..."
339,Data Scientist​,"Chantilly, VA",        VivusTech,None,"            SQL, R, Python), working with large data sets, data collection, data normalization, and data visualization...."
340,Visual Data Specialist,"Derwood, MD 20855","        Intelligent Automation, Inc.",None,"            The successful candidate will join a team of computer vision scientists and engineers to participate in rewarding R&D process for image and video analysis,..."
341,Data Scientist Specialist,"Washington, DC",        Public Company Accounting Oversight Board,None,"            In this position, you will be responsible for utilizing your professional experience with machine learning techniques like classification and regression, model..."
342,Senior Data Scientist,None,"        American Nurses Association, Inc",None,"Data management and visualization. Program for advanced statistical analyses using software programs (e.g., SAS, SPSS, Winsteps, R, SQL)...."
343,Graduate Studies Program - Data Scientist,None,        Central Intelligence Agency,"
                $27.17 - $36.60 an hour","                            As a Data Scientist Graduate Intern, you will work side-by-side with other Data Scientists to organize and interpret data to inform US decision makers, drive..."
344,Data Scientist — Predictive Analytics,None,        Gallup,None,                            Minimum of two years of experience building production-level machine learning and predictive analytics systems along with data pipelines....
345,Data Scientist,None,        Novetta,None,                            Novetta has an exciting opportunity for a self-motivated and accomplished Data Scientist to join our advanced analytics team....
346,Graduate Studies Program - Data Scientist,None,        Central Intelligence Agency,"
                $27.17 - $36.60 an hour","                            As a Data Scientist Graduate Intern, you will work side-by-side with other Data Scientists to organize and interpret data to inform US decision makers, drive..."
347,Data Analytics Specialist,None,        PCAOB,None,"                            Play a significant role in PCAOB's increasing focus on data analytics, using predictive data analytics to improve the effectiveness and efficiency of our..."
348,Data Scientist - Human Capital Analytics,None,        Leidos,None,                            Provide expert and professional data scientists to implement effective and innovative solutions meshing disparate data types to discover insights and trends in...
349,Data Scientist,"Arlington, VA 22202 (Aurora Highlands area)",        ByteCubed,None,"            At Bytecubed, the data science team mostly does data wrangling, natural language processing, and machine learning...."
350,Data Scientist,"Washington, DC",        Optoro,None,"            Deep understanding of data analysis, machine learning, and data communication across multiple domain areas...."
351,Data Scientist,"Washington, DC 20011 (Catholic University-Brookland area)",        Azimuth Corporation,None,            BS degree in a related scientific or engineering discipline from an accredited college or university and ten (10) to fourteen (14) years of progressive...
352,Data Scientist​,"Chantilly, VA",        VivusTech,None,"            SQL, R, Python), working with large data sets, data collection, data normalization, and data visualization...."
353,Data Scientist,"Alexandria, VA 22303",        TransVoyant,None,            TransVoyant is seeking a Data Scientist to drive live and predictive data analytics and development for our patented Continuous Decision Intelligence™ Platform....
354,Data Scientist/Analyst,"Washington, DC",        Favor TechConsulting,None,"            Provide data analytics, data engineering, data mining, exploratory analysis, predictive analysis, statistics, and the use of techniques...."
355,Conflict Data Scientist,"Washington, DC",        FREEDOM CONSULTING GROUP,None,"            Conflict Data Scientist. Strong quantitative background and experience in data collection, cleaning, processing and applied analysis and visualization using..."
356,DIA Collection Data Scientist,"Washington, DC 20001 (Shaw area)",        Cyberspace Solutions LLC,None,"            The Data Scientist will perform research on various data sources, to include unstructured data using quantitative and qualitative analytics...."
